sku,image_name,description,related_products
NATIONAL - Garlic Powder 50g,,"Unleash the savory power of NATIONAL Garlic Powder!  This 50g jar delivers intense garlic flavor without the mess of chopping. Perfect for boosting soups, stews, rubs, and more, it adds a delicious depth to all your favorite dishes.  Enhance your culinary creations with the rich, aromatic taste of freshly processed garlic, conveniently packaged for your kitchen.

Our NATIONAL Garlic Powder boasts premium quality, ensuring consistent flavor and aroma in every sprinkle.  It's finely ground for easy blending and even distribution.  50g jar, ideal for home cooks and professional chefs alike.  Enjoy the convenience and quality you deserve.

Add a burst of authentic garlic flavor to your cooking effortlessly.  Use it in marinades, dry rubs, or sprinkle directly onto finished dishes.  Order your NATIONAL Garlic Powder today and elevate your dishes to the next level.  Experience the difference quality makes!
",NATIONAL - Coriander Powder 50g | NATIONAL - Chilli Powder  50g | NATIONAL - Bombay Biryani 50g
Shan Chat Masala Hard 50g,,"Unleash the vibrant flavors of India with Shan Chat Masala Hard, a 50g pack bursting with aromatic spices!  Elevate your everyday dishes and snacks with its rich, complex blend. Perfect for chaat, snacks, and more, this masala adds a depth of flavor that will tantalize your taste buds. Experience authentic Indian taste, conveniently packaged for your culinary adventures.

This premium hard masala boasts a unique blend of carefully selected spices, ensuring consistent quality and unmatched flavor.  The 50g pack is ideal for frequent use, providing ample spice for numerous culinary creations.  It's easy to store and use, adding a touch of magic to your cooking with minimal effort.  No artificial colors or flavors, just pure, natural spice goodness.

Add a dash to your favorite chaat recipes, sprinkle over roasted nuts, or enhance your vegetable dishes. Let Shan Chat Masala Hard transform your cooking experience.  Order yours today and discover the difference!  Experience the authentic taste of India – one delicious dish at a time.
",NATIONAL - Chat Masala 45g | SHAN - Karahi Fry Goshat Masala-50 g | SHAN - Achar Ghost 50g
NATIONAL Kasuri Methi Masala 25 g,,"Unleash the vibrant taste of India with NATIONAL Kasuri Methi Masala! This 25g pack delivers the authentic, fragrant flavor of dried fenugreek leaves, adding depth and complexity to your curries, stews, and more. Elevate your dishes with its unique, slightly bitter-sweet note – a culinary secret for restaurant-quality meals at home.  Experience the difference!

Our meticulously sourced Kasuri Methi is carefully dried to preserve its intense aroma and flavor.  This 25g pack is perfectly sized for multiple uses, making it ideal for both seasoned cooks and culinary adventurers.  It's a versatile spice; use it sparingly for a subtle touch or generously for a bold, distinct flavor.  

Add a pinch to your favorite lentil dishes, vegetable stir-fries, or even sprinkle it over yogurt for a surprising twist.  NATIONAL Kasuri Methi Masala: Authentic Indian flavor, conveniently packaged for your culinary creations. Order yours today and transform your cooking!
",NATIONAL Garam Masala 50g | National Sindhi Biryani Masala 50g | NATIONAL - Pulao Masala 70g
NATIONAL Salan Masala Hard 50 g,,"Unleash the vibrant flavours of India with NATIONAL Salan Masala Hard! This 50g pack delivers an authentic, intensely aromatic blend perfect for creating rich and delicious salan dishes.  Experience the depth of flavour, effortlessly elevating your culinary creations.  Save time and impress your guests with this expertly crafted spice mix.

NATIONAL Salan Masala Hard offers a convenient, pre-mixed blend of high-quality spices, meticulously selected for optimal taste.  The 50g hard pack ensures freshness and long-lasting aroma.  Simply add to your favourite salan recipe for an instant flavour boost.  It's perfect for both vegetarian and non-vegetarian dishes.

Enhance your cooking with the convenience of NATIONAL Salan Masala Hard.  Its robust flavour profile is ideal for adding depth to stews, curries, and more.  Try it today and discover the difference authentic spices make!  Order now and experience the taste of India!
",NATIONAL Garam Masala 50g | National Sindhi Biryani Masala 50g | NATIONAL - Bombay Biryani 50g
NATIONAL - Halem Masala 50 g,,"Unleash the vibrant flavors of India with NATIONAL Halem Masala! This 50g pack delivers an authentic blend of spices, perfect for elevating your everyday curries and dishes.  Experience rich, aromatic depth and a tantalizing warmth that will transform your cooking.  Add a touch of magic to your meals!

NATIONAL Halem Masala is expertly crafted with a unique selection of high-quality spices.  It’s conveniently packaged in a resealable 50g pouch for freshness and easy storage. This versatile spice blend is perfect for both beginners and experienced cooks.  Simply add a teaspoon or two to your favorite recipes.

Enjoy the ease and convenience of adding incredible flavor to your dishes instantly.  Perfect for vegetables, lentils, meats, and more.   Try NATIONAL Halem Masala today and discover the difference authentic Indian spices can make!  Order now and experience the taste of tradition.
",NATIONAL Garam Masala 50g | National Sindhi Biryani Masala 50g | NATIONAL - Bombay Biryani 50g
SHAN - Teekhi Mirch Powder / Kale Mirch Powder 50g,,"Unleash the fiery flavor of SHAN Teekhi Mirch/Kale Mirch Powder!  Ignite your culinary creations with this intensely aromatic and vibrant chili powder. Perfect for adding a fiery kick to curries, stews, and more, this 50g pack delivers bold, authentic taste. Elevate your dishes from ordinary to extraordinary with SHAN's signature quality.


Experience the intense heat and rich flavor of 50g of pure, finely ground chili powder.  This premium blend offers consistent quality and vibrant red color.  It’s sourced from the finest chilies, ensuring a superior taste in every sprinkle.  Add a dash for a subtle warmth, or generously sprinkle for an explosive fiery finish!

Add depth and complexity to your favorite recipes. Use it in marinades for meats, sprinkle on eggs, or add a fiery kick to your favorite snacks.  Order your SHAN Teekhi/Kale Mirch Powder today and experience the difference!
",NATIONAL - Chilli Powder  50g | SHAN - Achar Ghost 50g | Shan Chat Masala Hard 50g
SHAN - Shami Kabab 50g,,"Indulge in the rich, savory taste of SHAN Shami Kabab (50g)!  Experience authentic Pakistani flavor in every bite.  Perfectly seasoned and ready to cook, these kababs offer a quick and delicious meal solution, ideal for busy weeknights or a flavorful addition to your weekend feast.  Enjoy the convenience of restaurant-quality taste at home!

Each 50g pack contains perfectly portioned, pre-marinated kababs, requiring minimal preparation. Simply cook and serve!  They're great grilled, pan-fried, or even baked.  No artificial colors or flavors.  Made with high-quality ingredients for a superior taste experience.  Perfect for appetizers, snacks, or a main course.

Elevate your culinary creations with SHAN Shami Kabab.  Serve with naan, roti, or your favorite salad.  They're incredibly versatile and sure to impress your family and friends.  Order yours today and experience the difference!
",SHAN - Seekh Kabab Masala 50g | SHAN - Karahi Fry Goshat Masala-50 g | SHAN - Achar Ghost 50g
SHAN - Paya Masala 50g,,"Unleash the vibrant flavors of India with SHAN-Paya Masala! This 50g pack delivers an authentic, rich taste to your Payas, transforming them into a culinary masterpiece.  Experience intensely aromatic and savory results, elevating your dish to a new level of deliciousness.  Enjoy the convenience of pre-mixed spices, perfectly balanced for exceptional flavor.

Our expertly blended SHAN Paya Masala contains a unique mix of premium spices, carefully selected for their quality and aroma.  It's easy to use, simply add to your Payas recipe for a restaurant-quality result.   Each 50g pack is perfectly sized for multiple uses, ensuring long-lasting enjoyment.  The resealable packaging maintains freshness and aroma.

Enhance your cooking experience and impress your guests with this authentic, easy-to-use spice blend. SHAN Paya Masala guarantees a delightful culinary journey. Order yours today and experience the difference!
",SHAN - Seekh Kabab Masala 50g | SHAN - korma masala 50g | SHAN - Nihari Masala 50g
NATIONAL - Chilli Powder  50g,,"Unleash the fiery flavour of NATIONAL Chilli Powder!  This 50g pack delivers intense heat and rich aroma, perfect for elevating your culinary creations. Add a vibrant kick to your favourite dishes – from curries and stews to tacos and chili. Experience authentic, bold flavour in every sprinkle!

Our premium chilli powder is carefully sourced and expertly ground for consistent quality and vibrant red colour.  It's 50g size is ideal for both everyday cooking and experimenting with new recipes.  Convenient, versatile, and undeniably delicious!

Spice up your life!  NATIONAL Chilli Powder adds depth and complexity to any meal. Use it sparingly for a subtle warmth or generously for a fiery explosion of flavour.  Order yours today and discover the difference!
",NATIONAL - Garlic Powder 50g | NATIONAL - Coriander Powder 50g | SHAN - Teekhi Mirch Powder / Kale Mirch Powder 50g
NATIONAL - Bombay Biryani 50g,,"Experience the authentic taste of India with NATIONAL Bombay Biryani! This 50g pack delivers a flavour explosion of aromatic basmati rice, tender meat, and fragrant spices.  Perfect for a quick and delicious lunch or snack, it’s a taste of home or a culinary adventure, ready in minutes. Enjoy the rich, complex flavours of traditional Bombay Biryani anytime, anywhere.

This convenient 50g pack is ideal for individual servings.  It's easy to prepare – simply heat and enjoy!  No artificial colours or flavours.  Made with high-quality ingredients for an exceptional taste experience.  Perfect for on-the-go meals, picnics, or a satisfying snack.

Satisfy your biryani cravings with this authentic recipe.  Heat gently for best results.  Explore the full NATIONAL range for more delicious Indian cuisine. Try it today and discover a flavour sensation!
",National Sindhi Biryani Masala 50g | NATIONAL - Pulao Masala 70g | NATIONAL - Chat Masala 45g
